ID,Formula
1,X a => X c
2,X b => !X d
3,a & X b
4,b | !X a
5,X a & b
6,X !b & d
7,a U c
8,b U !d
9,(c & b) U a
10,(d | !b) U !a
11,a U (b & c)
12,b U (a | d)
13,(c U a) & (b U a)
14,(d U c) | (a U !c)
15,G a
16,F !b
17,!G c
18,!F (a & b)
19,F (!y & w)
20,G t | F w
21,X (t & y)
22,!X !(w | x)
23,t => w
24,t => (x & y)
25,!X t
26,X t => X y
27,X (t | w)
28,X (y => x & w)
29,F x | F y
30,X a & !G b
31,d & X (c U a)
32,(b | !a) & X (d U c)
33,(b U c) & (d U !b)
34,G (!f | !i)
35,F (f => j)
36,G (j => !f)
37,G (!i) | F (f U i)
38,(a U b) & (c U d)
39,b U (d & a)
40,F (o | u)
41,G (n => s)
42,(y & !d) | (y => d)
43,X (f & i)
44,X(!g | !j)
45,X (!i) | X (j)
46,F d | G !n
47,a U (c & d)
48,b & X (a U c)
49,X !(t | w)
50,F (o U u)
51,a -> XXXa
52,XXFXa
53,Fa -> Gb
54,(a U b) and G(a)
55,G(a -> (X!a and XXa))
56,(!a)U(a and XG!a)
57,Fa and G(a -> XG!a)
58,!F(a and Xa and XXa)
59,G((a and Xa) -> XX!a)
60,G(a -> Fb)
61,a U G!a
62,a
63,XXXa
64,G(a -> XXXa)
65,Xa U Xb
66,Fa and Fb
67,XXFa
68,a U b
69,FGa
70,G(a->b)
71,G(a and !b)
72,G !a
73,F a
74,G(a or b)
75,F(a and b)
76,G(a -> X!b)
77,a U !a
78,! G ! h
79,(a & d) U (c | b)
80,a | b | !c
81,F (d => ! h)
82,g U X m
83,X ! G b
84,G (a & X b)
85,a => r | t
86,t
87,a => XX G b
88,X !F (r | s)
89,F d & ! F t
90,b | c => a
91,(x & y) | (y => !x)
92,X t => u
93,F (a & X b)
94,a U Gb
95,!F (i U j)
96,G(XXa => !a)
97,!s U g
