Ra,Rh,La,Lh,Ma,Mh,Ia,Ih,Oa,Oh,Qa,Qh
487.0,359.0,400.0,315.0,501.0,206.0,510.0,364.0,300.0,266.0,341.0,153.0
410.0,257.0,350.0,210.0,579.0,203.0,506.0,405.0,290.0,201.0,325.0,88.0
302.0,233.0,263.0,145.0,377.0,118.0,432.0,417.0,207.0,258.0,266.0,89.0
490.0,282.0,316.0,414.0,538.0,181.0,464.0,440.0,315.0,270.0,365.0,88.0
419.0,252.0,373.0,177.0,377.0,190.0,401.0,361.0,237.0,176.0,202.0,142.0
421.0,246.0,313.0,158.0,400.0,174.0,383.0,354.0,279.0,99.0,286.0,91.0
373.0,298.0,315.0,66.0,455.0,147.0,585.0,326.0,356.0,208.0,199.0,84.0
466.0,318.0,259.0,319.0,581.0,122.0,397.0,261.0,371.0,189.0,265.0,99.0
522.0,433.0,288.0,63.0,499.0,206.0,433.0,336.0,370.0,263.0,252.0,105.0
488.0,352.0,401.0,298.0,461.0,268.0,605.0,380.0,438.0,410.0,286.0,94.0
475.0,430.0,322.0,105.0,626.0,210.0,614.0,311.0,524.0,180.0,233.0,138.0
459.0,429.0,321.0,119.0,414.0,202.0,554.0,377.0,419.0,387.0,261.0,105.0
500.0,256.0,400.0,349.0,694.0,245.0,629.0,519.0,465.0,148.0,201.0,114.0
558.0,413.0,385.0,336.0,737.0,231.0,645.0,557.0,608.0,426.0,380.0,189.0
311.0,175.0,238.0,94.0,357.0,106.0,398.0,253.0,403.0,117.0,176.0,85.0
385.0,278.0,223.0,139.0,351.0,162.0,315.0,325.0,262.0,285.0,247.0,131.0
365.0,274.0,313.0,133.0,523.0,122.0,468.0,403.0,302.0,173.0,159.0,109.0
417.0,259.0,377.0,162.0,454.0,148.0,517.0,328.0,504.0,245.0,238.0,144.0
363.0,223.0,239.0,116.0,444.0,179.0,367.0,326.0,335.0,110.0,275.0,108.0
449.0,332.0,331.0,141.0,482.0,206.0,479.0,380.0,407.0,416.0,260.0,126.0
421.0,159.0,332.0,110.0,401.0,122.0,303.0,250.0,316.0,138.0,262.0,111.0
483.0,365.0,401.0,156.0,404.0,180.0,517.0,641.0,472.0,277.0,283.0,175.0
316.0,286.0,375.0,114.0,830.0,160.0,492.0,346.0,249.0,147.0,297.0,105.0
397.0,267.0,286.0,86.0,508.0,124.0,482.0,229.0,397.0,121.0,309.0,101.0
335.0,304.0,242.0,133.0,479.0,132.0,386.0,309.0,310.0,148.0,243.0,82.0
396.0,306.0,410.0,146.0,689.0,197.0,527.0,299.0,342.0,219.0,268.0,211.0
530.0,245.0,269.0,88.0,488.0,178.0,517.0,559.0,314.0,218.0,209.0,96.0
441.0,338.0,397.0,149.0,576.0,179.0,522.0,341.0,478.0,268.0,367.0,149.0
317.0,293.0,336.0,168.0,471.0,165.0,454.0,365.0,326.0,233.0,244.0,125.0
553.0,370.0,323.0,163.0,519.0,250.0,737.0,500.0,283.0,245.0,235.0,131.0
511.0,368.0,392.0,181.0,479.0,277.0,538.0,497.0,538.0,314.0,296.0,139.0
528.0,276.0,397.0,441.0,559.0,303.0,687.0,494.0,380.0,457.0,261.0,144.0
604.0,398.0,420.0,458.0,742.0,328.0,639.0,388.0,371.0,390.0,386.0,202.0
440.0,326.0,319.0,165.0,507.0,187.0,488.0,461.0,281.0,235.0,221.0,155.0
471.0,332.0,368.0,185.0,685.0,144.0,495.0,339.0,411.0,350.0,406.0,171.0
427.0,378.0,313.0,133.0,410.0,174.0,602.0,248.0,316.0,306.0,224.0,138.0
552.0,503.0,456.0,402.0,538.0,407.0,819.0,675.0,474.0,253.0,336.0,131.0
479.0,277.0,414.0,445.0,640.0,248.0,774.0,441.0,359.0,437.0,302.0,151.0
477.0,331.0,327.0,91.0,546.0,156.0,523.0,726.0,301.0,250.0,307.0,78.0
361.0,283.0,307.0,136.0,566.0,123.0,421.0,379.0,531.0,147.0,318.0,96.0
406.0,279.0,302.0,136.0,482.0,195.0,533.0,220.0,332.0,126.0,239.0,128.0
462.0,321.0,451.0,415.0,636.0,301.0,567.0,392.0,486.0,178.0,400.0,166.0
440.0,236.0,317.0,161.0,526.0,143.0,500.0,370.0,320.0,157.0,233.0,100.0
396.0,229.0,326.0,143.0,478.0,104.0,515.0,385.0,241.0,274.0,218.0,116.0
286.0,216.0,329.0,76.0,490.0,160.0,403.0,227.0,373.0,221.0,271.0,141.0
500.0,416.0,289.0,120.0,468.0,222.0,498.0,580.0,520.0,255.0,252.0,150.0
382.0,277.0,347.0,411.0,530.0,240.0,586.0,385.0,377.0,166.0,242.0,91.0
527.0,344.0,406.0,180.0,434.0,240.0,561.0,508.0,538.0,437.0,326.0,124.0
320.0,245.0,416.0,114.0,447.0,153.0,410.0,372.0,320.0,203.0,267.0,101.0
576.0,364.0,533.0,157.0,593.0,277.0,463.0,688.0,554.0,143.0,302.0,120.0
370.0,278.0,329.0,127.0,397.0,254.0,495.0,465.0,289.0,286.0,280.0,143.0
527.0,428.0,435.0,179.0,668.0,262.0,454.0,555.0,495.0,431.0,331.0,78.0
554.0,432.0,319.0,117.0,403.0,193.0,631.0,420.0,329.0,407.0,226.0,143.0
479.0,314.0,495.0,437.0,674.0,199.0,662.0,392.0,356.0,362.0,352.0,96.0
510.0,521.0,363.0,340.0,526.0,257.0,584.0,671.0,509.0,383.0,348.0,223.0
481.0,448.0,386.0,360.0,578.0,255.0,632.0,477.0,312.0,520.0,329.0,115.0
517.0,385.0,375.0,396.0,659.0,301.0,845.0,550.0,356.0,455.0,377.0,115.0
394.0,379.0,378.0,377.0,498.0,288.0,637.0,559.0,357.0,206.0,244.0,145.0
536.0,320.0,379.0,486.0,546.0,281.0,735.0,655.0,453.0,496.0,246.0,190.0
428.0,464.0,395.0,190.0,327.0,305.0,581.0,515.0,520.0,149.0,256.0,161.0
531.0,388.0,416.0,317.0,514.0,235.0,620.0,452.0,376.0,392.0,328.0,165.0
297.0,246.0,206.0,90.0,470.0,100.0,242.0,245.0,174.0,128.0,268.0,60.0
348.0,326.0,275.0,84.0,477.0,190.0,408.0,247.0,413.0,263.0,243.0,124.0
383.0,351.0,286.0,116.0,541.0,254.0,560.0,572.0,485.0,266.0,281.0,144.0
621.0,380.0,414.0,174.0,796.0,237.0,577.0,375.0,386.0,233.0,326.0,112.0
462.0,328.0,322.0,155.0,479.0,196.0,392.0,289.0,371.0,181.0,207.0,123.0
553.0,411.0,302.0,164.0,418.0,172.0,368.0,552.0,336.0,205.0,283.0,116.0
416.0,315.0,251.0,98.0,643.0,205.0,784.0,363.0,253.0,272.0,217.0,96.0
371.0,241.0,282.0,281.0,471.0,119.0,470.0,470.0,482.0,319.0,164.0,120.0
398.0,320.0,315.0,108.0,582.0,213.0,583.0,378.0,236.0,208.0,247.0,139.0
322.0,249.0,291.0,101.0,451.0,142.0,404.0,249.0,302.0,139.0,163.0,151.0
331.0,245.0,230.0,111.0,333.0,68.0,335.0,284.0,318.0,95.0,144.0,114.0
280.0,211.0,319.0,131.0,422.0,94.0,360.0,320.0,320.0,96.0,235.0,87.0
355.0,225.0,311.0,135.0,581.0,148.0,404.0,384.0,373.0,119.0,220.0,150.0
319.0,233.0,309.0,169.0,446.0,171.0,354.0,429.0,267.0,235.0,243.0,114.0
391.0,329.0,429.0,130.0,544.0,244.0,377.0,339.0,249.0,129.0,252.0,109.0
474.0,239.0,232.0,101.0,632.0,146.0,655.0,391.0,452.0,320.0,305.0,92.0
