-llm_org,-llm_new
236.0,475.0
237.0,434.0
189.0,428.0
269.0,507.0
212.0,426.0
194.0,416.0
231.0,362.0
196.0,498.0
182.0,373.0
232.0,464.0
229.0,487.0
248.0,469.0
231.0,525.0
221.0,519.0
238.0,460.0
236.0,468.0
166.0,458.0
215.0,456.0
173.0,476.0
306.0,571.0
233.0,493.0
232.0,450.0
257.0,528.0
182.0,485.0
219.0,450.0
245.0,409.0
261.0,429.0
234.0,409.0
197.0,442.0
233.0,496.0
250.0,534.0
287.0,488.0
194.0,465.0
265.0,434.0
180.0,509.0
270.0,476.0
267.0,614.0
206.0,497.0
212.0,518.0
280.0,518.0
181.0,475.0
212.0,375.0
235.0,463.0
100.0,406.0
244.0,480.0
259.0,616.0
224.0,489.0
264.0,521.0
235.0,447.0
224.0,557.0
