o,n,gold,students
21.0,66.0,31,16
24.0,53.0,32,20
16.0,38.0,24,15
22.0,45.0,25,18
16.0,50.0,24,19
16.0,45.0,25,24
23.0,37.0,78,17
22.0,60.0,74,26
33.0,38.0,85,14
22.0,46.0,106,14
25.0,40.0,84,22
32.0,41.0,83,21
35.0,31.0,82,13
24.0,52.0,25,18
16.0,51.0,13,23
12.0,77.0,25,17
15.0,73.0,25,15
25.0,69.0,19,12
20.0,80.0,33,18
29.0,48.0,46,13
15.0,65.0,18,10
17.0,51.0,21,11
10.0,59.0,18,19
23.0,59.0,21,22
14.0,63.0,15,12
21.0,50.0,31,13
22.0,53.0,21,13
22.0,53.0,32,16
17.0,65.0,32,9
27.0,53.0,47,13
26.0,56.0,81,9
33.0,43.0,94,16
23.0,73.0,158,17
25.0,52.0,18,8
17.0,59.0,30,15
17.0,73.0,31,15
28.0,69.0,29,13
36.0,55.0,158,10
18.0,37.0,84,14
23.0,60.0,29,10
16.0,79.0,31,18
21.0,65.0,41,15
17.0,64.0,18,14
19.0,71.0,25,20
17.0,52.0,27,18
24.0,51.0,46,17
17.0,45.0,84,12
34.0,36.0,94,18
14.0,58.0,19,11
21.0,54.0,25,19
